TXN_ID;fecha_pago;cliente_nombre;mascota_id;servicio_cat;descripcion_detallada;subtotal_neto;impuesto_aplicado;total_con_iva;metodo_abono;estado_sistema;old_sys_val_1;old_sys_val_2;old_sys_val_3;old_sys_val_4;old_sys_val_5;old_sys_val_6;old_sys_val_7;old_sys_val_8;old_sys_val_9;old_sys_val_10;old_sys_val_11;old_sys_val_12;old_sys_val_13;old_sys_val_14;old_sys_val_15;old_sys_val_16;old_sys_val_17;old_sys_val_18;old_sys_val_19;old_sys_val_20;old_sys_val_21;old_sys_val_22;old_sys_val_23;old_sys_val_24;old_sys_val_25;old_sys_val_26;old_sys_val_27;old_sys_val_28;old_sys_val_29;old_sys_val_30;old_sys_val_31;old_sys_val_32;old_sys_val_33;old_sys_val_34;old_sys_val_35;old_sys_val_36;old_sys_val_37;old_sys_val_38;old_sys_val_39;Unnamed: 40;Unnamed: 41;Unnamed: 42;Unnamed: 43;Unnamed: 44;Unnamed: 45;Unnamed: 46;Unnamed: 47;Unnamed: 48;Unnamed: 49;Unnamed: 50;Unnamed: 51;Unnamed: 52;Unnamed: 53;Unnamed: 54;Unnamed: 55;Unnamed: 56;Unnamed: 57;Unnamed: 58;Unnamed: 59;Unnamed: 60;Unnamed: 61;Unnamed: 62;Unnamed: 63;Unnamed: 64;Unnamed: 65;Unnamed: 66;Unnamed: 67;Unnamed: 68;Unnamed: 69;Unnamed: 70;Unnamed: 71;Unnamed: 72;Unnamed: 73;Unnamed: 74;Unnamed: 75;Unnamed: 76;Unnamed: 77;Unnamed: 78;Unnamed: 79;Unnamed: 80;Unnamed: 81;Unnamed: 82;Unnamed: 83;Unnamed: 84;Unnamed: 85;Unnamed: 86;Unnamed: 87;Unnamed: 88;Unnamed: 89
TXN-2025000;2025-09-12;RUIZ;PET-961;CirugÃ­a;CirugÃ­a dental avanzada;1030,02;216,30;1246,32;Stripe;CLOSED;FALSE;0;migrated_2024;migrated_2024;migrated_2024;NULL;;NaN;;;;;NULL;;NaN;;;NaN;;;;NULL;NULL;;NULL;;NaN;NULL;;;NULL;NULL;NaN;NaN;;NaN;;;NaN;NaN;NaN;;;NaN;;;;;;NULL;NULL;;;;;;NaN;;;;;;;;;;NaN;;NULL;;NaN;;;;;;NaN;;;;;;;;;;NaN;;
TXN-2025001;22/01/2026;MartÃ­nez_antiguo;PET-395;CirugÃ­a;CirugÃ­a dental avanzada;311,99;65,52;â‚¬377,51;TARJETA_POS_1;CLOSED;1;TRUE;1;1;0;NULL;;NaN;NaN;;NaN;;;;NaN;;NULL;NaN;;;NULL;;NULL;;NaN;;;;NaN;;;;NULL;;NULL;;NULL;NULL;;;;;;;;;;;;;NaN;NULL;;NaN;;;;;NaN;;;;;;NaN;;;;;;;NULL;NaN;;;;NaN;;;;;;NULL;;NaN;;;;NULL
TXN-2025002;abr. 07, 2025;RUIZ;PET-911;VacunaciÃ³n;Recordatorio anual;33,57;7,05;40,62â‚¬;error_red;CLOSED;migrated_2024;0;FALSE;migrated_2024;FALSE;;NaN;NULL;NaN;;;;;NaN;;;NaN;;;NaN;NULL;NaN;NaN;;;;;;;;;;;;;;;;NaN;NULL;NaN;;;;;;NaN;;NaN;;;NaN;;;NULL;;;NULL;;NaN;NaN;;;;NaN;;NULL;;;;;;;;NULL;;;;NULL;NaN;NULL;NaN;NULL;NULL;;NaN;;;
TXN-2025003;NULL;GÃ³mez_antiguo;PET-634;Farmacia;Meloxicam gotas;114,59;24,06;138,65;Stripe;CLOSED;FALSE;1;TRUE;1;migrated_2024;;;;;NULL;NaN;NULL;;;;;;;NaN;NaN;NULL;;;;;;;NULL;;;NULL;;;;;;NULL;;;NULL;;NaN;;;;NULL;;;;;;;NULL;NULL;;NULL;NULL;NaN;NULL;;;;;;NULL;;NaN;;NaN;;;NaN;NULL;NULL;;;NULL;;;;;;NaN;;;;;;
TXN-2025004;2025-04-22;  GÃ³mez ;PET-487;VacunaciÃ³n;Vacuna Rabia;36,59;7,68; EUR 44,27;Efectivo;CLOSED;migrated_2024;migrated_2024;1;0;migrated_2024;;;;NaN;;;NaN;;NaN;NaN;;;;;;;NULL;;;NULL;;NULL;;;NaN;NULL;;;NULL;NULL;;;;;;;;NaN;NaN;NaN;;;;NaN;;NaN;;;NULL;;NULL;NaN;;NULL;NaN;;;NaN;NULL;;;NaN;;NaN;;;;;;;NaN;;;NaN;;NULL;NaN;NaN;NULL;;NaN;;;
TXN-2025005;oct. 29, 2025;  GÃ³mez ;PET-619;CirugÃ­a;CastraciÃ³n gato;870,92;182,89;1053,81â‚¬;STRIPE;CLOSED;FALSE;migrated_2024;0;migrated_2024;migrated_2024;;NULL;;;;;NaN;;;NaN;NaN;NULL;;NaN;;NaN;;NULL;;NaN;;;;;;;;;;;NULL;;NULL;;;;;;;;;;;NULL;;;;NaN;;;;;;;NaN;NULL;NULL;;NaN;;;;;;NaN;;NULL;NULL;;;;NULL;NaN;NaN;;;;;;;NULL;;;NaN
TXN-2025006;sep. 26, 2025;LÃ³PEZ;PET-927;VacunaciÃ³n;Vacuna Rabia;52,29;10,98;â‚¬63,27;TRANSFERENCIA;CLOSED;TRUE;0;FALSE;1;1;NULL;;;;;;;;NaN;NaN;;;;;;;NULL;;;;NaN;NULL;NULL;;;;NaN;;;NULL;NaN;NULL;;NULL;;;;;;;NULL;;;NaN;;;NaN;;;;;;;;NaN;;;NULL;NaN;;;;;NULL;NULL;;;NaN;NaN;NULL;;;NULL;NaN;;NaN;;;;;;;;NaN
TXN-2025007;2025-08-01;MARTÃ­NEZ;PET-878;VacunaciÃ³n;Recordatorio anual;39,56;8,31;47,87;STRIPE;CLOSED;migrated_2024;1;0;TRUE;1;;;;;;;;NaN;;;;;NaN;NULL;;;;NaN;NULL;;;NaN;NULL;;NaN;NaN;;NaN;NaN;;NULL;;;;;;;;NaN;NULL;;;;NaN;;;;;;;;NaN;NULL;;;NULL;;;NaN;;;;;NaN;NaN;NaN;;;NULL;;NaN;;;NULL;;NULL;;;NULL;;;;;
TXN-2025008;2026-01-15;GÃ³mez_antiguo;PET-552;Consulta;Seguimiento post-operatorio;41,46;8,71;50,17;EFECTIVO;CLOSED;migrated_2024;0;1;0;0;;;;NaN;NULL;;;;;;;;NULL;NULL;;NaN;;NULL;;;NaN;;NaN;NULL;NULL;;NaN;;;;;;NaN;NULL;;NULL;NULL;;NULL;NULL;;NaN;;;NaN;;;NULL;NULL;NaN;;NaN;;;NULL;NULL;NaN;;NaN;;;NaN;;;;;;NULL;NaN;;NaN;;;;;;;;;NaN;;NULL;;
TXN-2025009;2025-06-03;  MartÃ­nez ;PET-607;Consulta;RevisiÃ³n urgencia;51,78;10,87;62,65;TRANSFERENCIA_POS_1;CLOSED;migrated_2024;0;migrated_2024;1;TRUE;;NULL;;NaN;;NULL;NULL;NULL;;;;;;;NaN;;;NaN;NULL;NaN;;;;;;NaN;;;NaN;;;NULL;;NaN;;;NaN;;;;;;;;;;;NaN;NULL;NULL;NaN;NULL;NULL;NaN;NaN;NULL;NaN;;;;NaN;;;NaN;;;NaN;;;;;;;;;NULL;;;;;;;;NULL
