TXN_ID;fecha_pago;cliente_nombre;mascota_id;servicio_cat;descripcion_detallada;subtotal_neto;impuesto_aplicado;total_con_iva;metodo_abono;estado_sistema;old_sys_val_1;old_sys_val_2;old_sys_val_3;old_sys_val_4;old_sys_val_5;old_sys_val_6;old_sys_val_7;old_sys_val_8;old_sys_val_9;old_sys_val_10;old_sys_val_11;old_sys_val_12;old_sys_val_13;old_sys_val_14;old_sys_val_15;old_sys_val_16;old_sys_val_17;old_sys_val_18;old_sys_val_19;old_sys_val_20;old_sys_val_21;old_sys_val_22;old_sys_val_23;old_sys_val_24;old_sys_val_25;old_sys_val_26;old_sys_val_27;old_sys_val_28;old_sys_val_29;old_sys_val_30;old_sys_val_31;old_sys_val_32;old_sys_val_33;old_sys_val_34;old_sys_val_35;old_sys_val_36;old_sys_val_37;old_sys_val_38;old_sys_val_39;Unnamed: 40;Unnamed: 41;Unnamed: 42;Unnamed: 43;Unnamed: 44;Unnamed: 45;Unnamed: 46;Unnamed: 47;Unnamed: 48;Unnamed: 49;Unnamed: 50;Unnamed: 51;Unnamed: 52;Unnamed: 53;Unnamed: 54;Unnamed: 55;Unnamed: 56;Unnamed: 57;Unnamed: 58;Unnamed: 59;Unnamed: 60;Unnamed: 61;Unnamed: 62;Unnamed: 63;Unnamed: 64;Unnamed: 65;Unnamed: 66;Unnamed: 67;Unnamed: 68;Unnamed: 69;Unnamed: 70;Unnamed: 71;Unnamed: 72;Unnamed: 73;Unnamed: 74;Unnamed: 75;Unnamed: 76;Unnamed: 77;Unnamed: 78;Unnamed: 79;Unnamed: 80;Unnamed: 81;Unnamed: 82;Unnamed: 83;Unnamed: 84;Unnamed: 85;Unnamed: 86;Unnamed: 87;Unnamed: 88;Unnamed: 89
TXN-2025000;ene. 28, 2025;GarcÃ­a;PET-717;CirugÃ­a;CastraciÃ³n gato;1142,52;239,93;1382,45â‚¬;EFECTIVO_POS_1;CLOSED;migrated_2024;1;TRUE;FALSE;0;;NaN;;NULL;;;;NULL;;NaN;;;NULL;;;;;;NaN;NaN;;NaN;NaN;NULL;NaN;;;;NaN;;NaN;;;NULL;;;;NULL;;;;NULL;;;;;;;;;NaN;NULL;;;;NULL;NULL;;;NaN;;NaN;;NULL;NULL;;NaN;;;;NaN;;;;;;NaN;;;;;NaN;;
TXN-2025001;11/02/2025;SÃ¡nchez;PET-811;Farmacia;Pienso Renal 2kg;98,84;20,76;119,60;Transferencia;CLOSED;FALSE;TRUE;1;1;migrated_2024;;NaN;;NaN;;;;;;NULL;NaN;NaN;;;NULL;;;;NaN;NaN;;;NaN;;NULL;NULL;;;;NULL;;NULL;;NaN;;;NULL;;;NULL;NaN;;NULL;;NULL;NaN;NaN;;NULL;;;NaN;NaN;NaN;NaN;;NULL;;NaN;;;;;;;NULL;;NaN;;;;;;NaN;NULL;;;;;;;;;NULL
TXN-2025002;2025-12-31;PÃ©rez_antiguo;PET-528;Consulta;Consulta general;68,32;14,35;â‚¬82,67;EFECTIVO;CLOSED;0;TRUE;0;migrated_2024;migrated_2024;NaN;;;NaN;;NULL;;NaN;;;;;;NULL;;NaN;NaN;NaN;;NaN;;;NaN;NaN;NULL;;;NaN;NULL;NULL;;;;;NaN;NULL;;;;;;NaN;;;NaN;NaN;NULL;NaN;NULL;;;;;;NULL;;;;NaN;;;;NULL;;NULL;;;;;;;NaN;;;;;;;NULL;;;;NULL;
TXN-2025003;2025-12-07;PÃ©rez;PET-875;Consulta;Seguimiento post-operatorio;;8,65; EUR 49,85;TARJETA_POS_1;CLOSED;1;0;0;1;1;;;;NaN;;;;;NULL;;NaN;;;NaN;;NaN;NaN;;;;;;;;;NaN;;;NULL;NaN;;;NULL;NULL;;;;;;;;;;;;;;;;NaN;NULL;NaN;;;;;;NULL;NaN;NaN;;;;;;;;;;;;;;NaN;NaN;;;;NULL;NaN;;NaN;NULL;
TXN-2025004;NULL;  GarcÃ­a ;PET-392;Consulta;Seguimiento post-operatorio;51,19;10,75;â‚¬61,94;TRANSFERENCIA;CLOSED;FALSE;TRUE;TRUE;TRUE;1;;;;NaN;;NaN;NaN;NaN;NULL;;;;;;;;;;;NaN;NULL;;NULL;NaN;;;NaN;;;NaN;;;NaN;;;;;;;;NaN;;NaN;;;NaN;;;NULL;;NULL;NaN;;;;NULL;;;;;NULL;;;;;NaN;NaN;NaN;NULL;;;;;;NULL;NaN;NaN;;;;;;;
TXN-2025005;2025-04-08;gã³mez;PET-837;Consulta;Seguimiento post-operatorio;;15,16;â‚¬87,36;STRIPE;CLOSED;migrated_2024;0;TRUE;1;FALSE;NaN;;NULL;;;;NaN;;;;NaN;NaN;;;;;NaN;NULL;;;;;;;;;NULL;NULL;;;;;NULL;;;;NULL;;;NaN;;;;;;;NaN;;;;;NaN;;NaN;NULL;;;NaN;;;;NULL;NULL;NULL;NULL;;NULL;NULL;NULL;NULL;;;;NaN;;NULL;NaN;;NULL;NaN;;;;NaN
TXN-2025006;ene. 19, 2025;GÃ³mez;PET-488;CirugÃ­a;CirugÃ­a TPLO perro;1179,84;247,77;1427,61;STRIPE_POS_1;CLOSED;TRUE;migrated_2024;FALSE;migrated_2024;0;NaN;NULL;NULL;;;;NULL;;;NULL;NaN;;;;;NaN;;;NULL;;NULL;;;;NaN;;NULL;;;;;;;;;NaN;;;;;;;;;;;NULL;NaN;;NULL;NULL;NaN;;;NaN;;NaN;;NaN;;;;;NULL;NaN;;;NULL;;;;NULL;NaN;;NaN;;;NULL;;;NaN;;;
NaN;2025/01/09 00:00:00;  GarcÃ­a ;PET-950;CirugÃ­a;CirugÃ­a TPLO perro;;140,88;811,72;Transferencia;CLOSED;1;migrated_2024;TRUE;TRUE;0;NaN;;;;;NaN;;NULL;NaN;;;;;;;NaN;;;NULL;;NULL;;NaN;;;;NaN;;NaN;;;;;;;NULL;;;NULL;;;;;;;NULL;;NaN;NaN;;;;;NULL;NaN;;;NaN;NaN;NaN;NULL;NaN;;;NULL;;NaN;;NULL;;;;;NaN;NaN;NaN;;;NULL;;NaN;;NaN;NaN
TXN-2025008;2025/11/05 00:00:00;LÃ³PEZ;PET-124;Farmacia;Pienso Renal 2kg;83,42;17,52;100,94â‚¬;Transferencia;PENDING_SYNC;0;migrated_2024;FALSE;1;migrated_2024;;;NULL;;;;NULL;;;NULL;;NULL;NULL;NULL;;NULL;;NULL;NULL;;NULL;NaN;;;;;;NaN;;;NULL;;;;;;;;;NaN;;;;;;;;NaN;NaN;;;;;;NULL;NaN;;;;;NULL;;;;;;;NaN;NaN;;;NULL;NaN;;NaN;;NaN;NaN;;;NULL;;;NULL
TXN-2025009;2025-04-19;GARCÃ­A;PET-270;Farmacia;AntibiÃ³tico amoxicilina;104,52;21,95;â‚¬126,47;TARJETA;CLOSED;1;FALSE;0;0;migrated_2024;NaN;NULL;;;NULL;;NaN;NULL;;NULL;NaN;;;;;;;;;;;NULL;NULL;NULL;;;;;;;;NULL;;;;NULL;NULL;;NULL;;;;;;;;;;NaN;;;;;;;NaN;;;;;NULL;;;;NULL;NaN;;NaN;NaN;;;;;;NULL;NULL;;;;;;NULL;;
TXN-2025010;NULL;RUIZ;PET-827;CirugÃ­a;ExtracciÃ³n tumoral;356,48;74,86; EUR 431,34;Stripe;CLOSED;1;1;migrated_2024;1;0;;;NaN;NaN;;;NaN;;;;;;NULL;;;;NULL;;;NULL;;;;;NULL;;NULL;;;;NULL;;;;;NaN;;;;;;;;;NULL;;;NULL;;;;;NaN;;NaN;;;;NaN;;;NaN;;;;;;NULL;NaN;;NaN;;NULL;NaN;;;;NULL;NaN;NaN;NaN;;;
TXN-2025011;29/01/2026;SÃ¡NCHEZ;PET-325;Farmacia;AntibiÃ³tico amoxicilina;78,67;16,52; EUR 95,19;Transferencia;CLOSED;TRUE;FALSE;1;FALSE;TRUE;NULL;;;;NULL;;;;;;;;;;;;;;NaN;;;;;;;NaN;;;;NULL;;;;;;;;;;NULL;;;;;;;NULL;;;NULL;;NULL;NaN;NULL;;NaN;NULL;;NaN;;NULL;NaN;;;NULL;NaN;NULL;;;;NaN;;;NaN;;NaN;NULL;;;;NaN;NaN;;
