TXN_ID;fecha_pago;cliente_nombre;mascota_id;servicio_cat;descripcion_detallada;subtotal_neto;impuesto_aplicado;total_con_iva;metodo_abono;estado_sistema;old_sys_val_1;old_sys_val_2;old_sys_val_3;old_sys_val_4;old_sys_val_5;old_sys_val_6;old_sys_val_7;old_sys_val_8;old_sys_val_9;old_sys_val_10;old_sys_val_11;old_sys_val_12;old_sys_val_13;old_sys_val_14;old_sys_val_15;old_sys_val_16;old_sys_val_17;old_sys_val_18;old_sys_val_19;old_sys_val_20;old_sys_val_21;old_sys_val_22;old_sys_val_23;old_sys_val_24;old_sys_val_25;old_sys_val_26;old_sys_val_27;old_sys_val_28;old_sys_val_29;old_sys_val_30;old_sys_val_31;old_sys_val_32;old_sys_val_33;old_sys_val_34;old_sys_val_35;old_sys_val_36;old_sys_val_37;old_sys_val_38;old_sys_val_39;Unnamed: 40;Unnamed: 41;Unnamed: 42;Unnamed: 43;Unnamed: 44;Unnamed: 45;Unnamed: 46;Unnamed: 47;Unnamed: 48;Unnamed: 49;Unnamed: 50;Unnamed: 51;Unnamed: 52;Unnamed: 53;Unnamed: 54;Unnamed: 55;Unnamed: 56;Unnamed: 57;Unnamed: 58;Unnamed: 59;Unnamed: 60;Unnamed: 61;Unnamed: 62;Unnamed: 63;Unnamed: 64;Unnamed: 65;Unnamed: 66;Unnamed: 67;Unnamed: 68;Unnamed: 69;Unnamed: 70;Unnamed: 71;Unnamed: 72;Unnamed: 73;Unnamed: 74;Unnamed: 75;Unnamed: 76;Unnamed: 77;Unnamed: 78;Unnamed: 79;Unnamed: 80;Unnamed: 81;Unnamed: 82;Unnamed: 83;Unnamed: 84;Unnamed: 85;Unnamed: 86;Unnamed: 87;Unnamed: 88;Unnamed: 89
TXN-2025000;2025-01-09;GARCÃ­A;PET-600;Farmacia;Meloxicam gotas;59,55;12,51;72,06â‚¬;Transferencia;CLOSED;TRUE;0;0;TRUE;TRUE;;NULL;;;;;NaN;;NULL;NULL;;NaN;;;NULL;;;;NULL;;NULL;NULL;NaN;;;NULL;;;NULL;NULL;;;NULL;;;;;;NaN;NULL;;;;;;NaN;;;;NaN;;;NaN;;;;;;NaN;NaN;;;NaN;NULL;NaN;NaN;NaN;;NaN;NaN;;NULL;NaN;;NaN;NaN;NaN;;NaN;NULL;;;NaN;
TXN-2025001;nov. 30, 2025;RUIZ;PET-266;Consulta;Consulta especialista;78,05;16,39; EUR 94,44;EFECTIVO;CLOSED;1;migrated_2024;1;0;migrated_2024;NaN;;;;;;NaN;NULL;;NULL;;;NaN;NaN;;NaN;;NULL;;NULL;NaN;NaN;;NaN;;NaN;;;;;;;NaN;NaN;;NaN;;NULL;;;NULL;;;;NaN;;;NaN;;NULL;;NULL;NULL;NaN;;NULL;;NaN;;;;;;;NULL;;;NULL;;;;;;;NULL;NaN;NaN;;NULL;;;;;NaN
TXN-2025002;2025/01/01 00:00:00;  MartÃ­nez ;PET-860;Consulta;Consulta general;40,53;8,51;â‚¬49,04;STRIPE;CLOSED;0;migrated_2024;FALSE;1;0;;;;;NaN;;;;NaN;NULL;;;;NaN;;NaN;NULL;;;NULL;;;;NaN;;;;NULL;NaN;;;;;NULL;;NaN;NaN;NaN;;;;NULL;NULL;NULL;NaN;;;NULL;;NaN;NULL;;;;;NULL;;;;NaN;;;;;NaN;NaN;;NaN;;NaN;NULL;;;NULL;;;;;;;NULL;;;
TXN-2025003;ago. 13, 2025;MARTÃ­NEZ;PET-394;Farmacia;Meloxicam gotas;;14,77;85,08;Efectivo;CLOSED;TRUE;TRUE;FALSE;1;1;NaN;NaN;NaN;;;;NULL;;NULL;;NULL;NaN;;NaN;;;;;NULL;;;;NaN;NULL;NaN;NaN;;;;;NULL;;;NaN;NaN;;;;;;;NaN;;NaN;;;NULL;;NULL;;NaN;NaN;;;;;NULL;NULL;NaN;;;NULL;;;;;;;;;;;;;;;;;;;NULL;;;NULL
TXN-2025004;2025/01/14 00:00:00;SÃ¡nchez_antiguo;PET-819;VacunaciÃ³n;Recordatorio anual;30,48;6,40;â‚¬36,88;EFECTIVO;PENDING_SYNC;migrated_2024;TRUE;1;TRUE;0;NaN;NaN;;;NaN;;NaN;NULL;;;;;NaN;;;;NaN;;NaN;;;NaN;NaN;;;NULL;NULL;;NULL;;NULL;;;;;;;NaN;;;NaN;;;NaN;;NULL;NULL;;;;;NaN;NaN;;;;NULL;;NULL;NULL;;;NULL;NaN;NaN;;NULL;;;;NaN;NULL;;NaN;NaN;;;NULL;NULL;;NULL;;;
TXN-2025005;05/09/2025;garcã­a;PET-728;Farmacia;Pienso Renal 2kg;19,89;4,18;24,07;Stripe;CLOSED;TRUE;FALSE;TRUE;0;TRUE;;NaN;;;NULL;NULL;;NaN;;;;NULL;;NaN;;;;;;;;;;;NaN;;;;NaN;NULL;NaN;;;;NULL;;;;NaN;NaN;;;NULL;;;;;NaN;;;;NULL;NaN;;;NULL;;;NULL;;NaN;NaN;;;;;;;NULL;NULL;;;;;NULL;NaN;;;NaN;;NULL;;;
TXN-2025006;nov. 15, 2025;MartÃ­nez;PET-363;Farmacia;Pienso Renal 2kg;103,41;21,72;125,13â‚¬;TRANSFERENCIA;CLOSED;0;TRUE;TRUE;migrated_2024;0;;;;;;;;;;;;;;NaN;;NaN;NaN;;NaN;;;;;;;NaN;;;NULL;;;;;;NaN;;;;;;;;;NaN;;;;;NaN;NULL;NULL;;;NaN;NaN;NaN;NULL;;NaN;;;NaN;;;NaN;;;NaN;NULL;;;;;;NULL;;;;;NULL;;;NaN;NULL
TXN-2025007;NULL;lã³pez;PET-929;Consulta;Seguimiento post-operatorio;37,93;7,97;45,90;STRIPE;CLOSED;migrated_2024;0;migrated_2024;0;0;;;NULL;;NaN;NULL;;;;;NaN;;;;;NaN;NaN;;;NULL;NULL;NaN;;;NULL;;;;NaN;;NULL;NULL;;;;;NULL;;;;NaN;NaN;NaN;;;NULL;;;;NULL;;;NaN;NULL;NULL;NaN;;NaN;;;;;;;;NaN;NaN;NaN;NaN;NULL;NaN;;;NULL;;;NULL;;;;;NULL;;NaN
TXN-2025008;jul. 03, 2025;SÃ¡NCHEZ;PET-743;Farmacia;Meloxicam gotas;83,18;17,47;â‚¬100,65;TARJETA;CLOSED;FALSE;TRUE;1;1;FALSE;;;NULL;NaN;NaN;NaN;NULL;;;;;;;NaN;NaN;;;;;;;;NULL;;;;NULL;;;NaN;NULL;NULL;;;;;NaN;;;;;NULL;;NaN;NaN;;NaN;;;NULL;NaN;NaN;;;NaN;NaN;;;NaN;NaN;NULL;;;NaN;;;;;;;NaN;;NaN;;NULL;;NULL;;NaN;NULL;;;;
TXN-2025009;19/03/2025;LÃ³PEZ;PET-840;CirugÃ­a;CastraciÃ³n gato;534,79;112,31;647,10â‚¬;TRANSFERENCIA;CLOSED;1;migrated_2024;1;FALSE;0;;NaN;;;;;NaN;NULL;NaN;NULL;;;;NULL;NaN;;;;NULL;;;;;NaN;NULL;NULL;;;NaN;;NULL;;;;;;;;NULL;;;;;NULL;;;;;;;NULL;NULL;;NULL;;;;;;;NULL;NaN;;;NULL;NULL;;NULL;;;;;;NULL;;;;;;NaN;;;;
